Neighborhood (group),Number of Records,Age,Chas,Crim,Dis,Indus,Lstat,Mv,Neighborhood,Nox,Ptratio,Rad,Rooms,Tax,Zn
GroupB,1,65.2,0,0.00632,4.09,2.31,4.98,24,Nahant,0.538,15.3,1,6.575,296,18
GroupA,1,78.9,0,0.02731,4.9671,7.07,9.14,21.6,Swampscott,0.469,17.8,2,6.421,242,0
GroupC,1,61.1,0,0.02729,4.9671,7.07,4.03,34.7,Swanpscott,0.469,17.8,2,7.185,242,0
GroupC,1,45.8,0,0.03237,6.0622,2.18,2.94,33.4,Marblehead,0.458,18.7,3,6.998,222,0
GroupC,1,54.2,0,0.06905,6.0622,2.18,5.33,36.2,Marblehead,0.458,18.7,3,7.147,222,0
GroupC,1,58.7,0,0.02985,6.0622,2.18,5.21,28.7,Marblehead,0.458,18.7,3,6.43,222,0
GroupE,1,66.6,0,0.08829,5.5605,7.87,12.43,22.9,Salem,0.524,15.2,5,6.012,311,12.5
GroupE,1,96.1,0,0.14455,5.9505,7.87,19.15,22.1,Salem,0.524,15.2,5,6.172,311,12.5
GroupE,1,100,0,0.21124,6.0821,7.87,29.93,16.5,Salem,0.524,15.2,5,5.631,311,12.5
GroupE,1,85.9,0,0.17004,6.5921,7.87,17.1,18.9,Salem,0.524,15.2,5,6.004,311,12.5
GroupE,1,94.3,0,0.22489,6.3467,7.87,20.45,15,Salem,0.524,15.2,5,6.377,311,12.5
GroupE,1,82.9,0,0.11747,6.2267,7.87,13.27,18.9,Salem,0.524,15.2,5,6.009,311,12.5
GroupE,1,39,0,0.09378,5.4509,7.87,15.71,21.7,Salem,0.524,15.2,5,5.889,311,12.5
GroupE,1,61.8,0,0.62976,4.7075,8.14,8.26,20.4,Lynn,0.538,21,4,5.949,307,0
GroupE,1,84.5,0,0.63796,4.4619,8.14,10.26,18.2,Lynn,0.538,21,4,6.096,307,0
GroupE,1,56.5,0,0.62739,4.4986,8.14,8.47,19.9,Lynn,0.538,21,4,5.834,307,0
GroupE,1,29.3,0,1.05393,4.4986,8.14,6.58,23.1,Lynn,0.538,21,4,5.935,307,0
GroupE,1,81.7,0,0.7842,4.2579,8.14,14.67,17.5,Lynn,0.538,21,4,5.99,307,0
GroupE,1,36.6,0,0.80271,3.7965,8.14,11.69,20.2,Lynn,0.538,21,4,5.456,307,0
GroupE,1,69.5,0,0.7258,3.7965,8.14,11.28,18.2,Lynn,0.538,21,4,5.727,307,0
GroupE,1,98.1,0,1.25179,3.7979,8.14,21.02,13.6,Lynn,0.538,21,4,5.57,307,0
GroupE,1,89.2,0,0.85204,4.0123,8.14,13.83,19.6,Lynn,0.538,21,4,5.965,307,0
GroupE,1,91.7,0,1.23247,3.9769,8.14,18.72,15.2,Lynn,0.538,21,4,6.142,307,0
GroupE,1,100,0,0.98843,4.0952,8.14,19.88,14.5,Lynn,0.538,21,4,5.813,307,0
GroupE,1,94.1,0,0.75026,4.3996,8.14,16.3,15.6,Lynn,0.538,21,4,5.924,307,0
GroupE,1,85.7,0,0.84054,4.4546,8.14,16.51,13.9,Lynn,0.538,21,4,5.599,307,0
GroupE,1,90.3,0,0.67191,4.682,8.14,14.81,16.6,Lynn,0.538,21,4,5.813,307,0
GroupE,1,88.8,0,0.95577,4.4534,8.14,17.28,14.8,Lynn,0.538,21,4,6.047,307,0
GroupE,1,94.4,0,0.77299,4.4547,8.14,12.8,18.4,Lynn,0.538,21,4,6.495,307,0
GroupE,1,87.3,0,1.00245,4.239,8.14,11.98,21,Lynn,0.538,21,4,6.674,307,0
GroupE,1,94.1,0,1.13081,4.233,8.14,22.6,12.7,Lynn,0.538,21,4,5.713,307,0
GroupE,1,100,0,1.35472,4.175,8.14,13.04,14.5,Lynn,0.538,21,4,6.072,307,0
GroupE,1,82,0,1.38799,3.99,8.14,27.71,13.2,Lynn,0.538,21,4,5.95,307,0
GroupE,1,95,0,1.15172,3.7872,8.14,18.35,13.1,Lynn,0.538,21,4,5.701,307,0
GroupE,1,96.9,0,1.61282,3.7598,8.14,20.34,13.5,Lynn,0.538,21,4,6.096,307,0
GroupA,1,68.2,0,0.06417,3.3603,5.96,9.68,18.9,Saugus,0.499,19.2,5,5.933,279,0
GroupA,1,61.4,0,0.09744,3.3779,5.96,11.41,20,Saugus,0.499,19.2,5,5.841,279,0
GroupA,1,41.5,0,0.08014,3.9342,5.96,8.77,21,Saugus,0.499,19.2,5,5.85,279,0
GroupA,1,30.2,0,0.17505,3.8473,5.96,10.13,24.2,Saugus,0.499,19.2,5,5.966,279,0
GroupC,1,21.8,0,0.02763,5.4011,2.95,4.32,30.8,Lynnfield,0.428,18.3,3,6.595,252,75
GroupC,1,15.8,0,0.03359,5.4011,2.95,1.98,34.9,Lynnfield,0.428,18.3,3,7.024,252,75
GroupA,1,2.9,0,0.12744,5.7209,6.91,4.84,26.6,Peabody,0.448,17.9,3,6.77,233,0
GroupA,1,6.6,0,0.1415,5.7209,6.91,5.81,25.3,Peabody,0.448,17.9,3,6.169,233,0
GroupA,1,6.5,0,0.15936,5.7209,6.91,7.44,24.7,Peabody,0.448,17.9,3,6.211,233,0
GroupA,1,40,0,0.12269,5.7209,6.91,9.55,21.2,Peabody,0.448,17.9,3,6.069,233,0
GroupA,1,33.8,0,0.17142,5.1004,6.91,10.21,19.3,Peabody,0.448,17.9,3,5.682,233,0
GroupA,1,33.3,0,0.18836,5.1004,6.91,14.15,20,Peabody,0.448,17.9,3,5.786,233,0
GroupA,1,85.5,0,0.22927,5.6894,6.91,18.8,16.6,Peabody,0.448,17.9,3,6.03,233,0
GroupA,1,95.3,0,0.25387,5.87,6.91,30.81,14.4,Peabody,0.448,17.9,3,5.399,233,0
GroupA,1,62,0,0.21977,6.0877,6.91,16.2,19.4,Peabody,0.448,17.9,3,5.602,233,0
GroupB,1,45.7,0,0.08873,6.8147,5.64,13.45,19.7,Danvers,0.439,16.8,4,5.963,243,21
GroupB,1,63,0,0.04337,6.8147,5.64,9.43,20.5,Danvers,0.439,16.8,4,6.115,243,21
GroupB,1,21.1,0,0.0536,6.8147,5.64,5.28,25,Danvers,0.439,16.8,4,6.511,243,21
GroupB,1,21.4,0,0.04981,6.8147,5.64,8.43,23.4,Danvers,0.439,16.8,4,5.998,243,21
GroupE,1,47.6,0,0.0136,7.3197,4,14.8,18.9,Middleton,0.41,21.1,3,5.888,469,75
GroupC,1,21.9,0,0.01311,8.6966,1.22,4.81,35.4,Topsfield,0.403,17.9,5,7.249,226,90
GroupB,1,35.7,0,0.02055,9.1876,0.74,5.77,24.7,Hamilton,0.41,17.3,2,6.383,313,85
GroupC,1,40.5,0,0.01432,8.3248,1.32,3.95,31.6,Wenham,0.411,15.1,5,6.816,256,100
GroupA,1,29.2,0,0.15445,7.8148,5.13,6.86,23.3,Beverly,0.453,19.7,8,6.145,284,25
GroupA,1,47.2,0,0.10328,6.932,5.13,9.22,19.6,Beverly,0.453,19.7,8,5.927,284,25
GroupA,1,66.2,0,0.14932,7.2254,5.13,13.15,18.7,Beverly,0.453,19.7,8,5.741,284,25
GroupA,1,93.4,0,0.17171,6.8185,5.13,14.44,16,Beverly,0.453,19.7,8,5.966,284,25
GroupA,1,67.8,0,0.11027,7.2255,5.13,6.73,22.2,Beverly,0.453,19.7,8,6.456,284,25
GroupA,1,43.4,0,0.1265,7.9809,5.13,9.5,25,Beverly,0.453,19.7,8,6.762,284,25
GroupC,1,59.5,0,0.01951,9.2229,1.38,8.05,33,Manchester,0.4161,18.6,3,7.104,216,17.5
GroupA,1,17.8,0,0.03584,6.6115,3.37,4.67,23.5,North_Reading,0.398,16.1,4,6.29,337,80
GroupA,1,31.1,0,0.04379,6.6115,3.37,10.24,19.4,North_Reading,0.398,16.1,4,5.787,337,80
GroupA,1,21.4,0,0.05789,6.498,6.07,8.1,22,Wilmington,0.409,18.9,4,5.878,345,12.5
GroupA,1,36.8,0,0.13554,6.498,6.07,13.09,17.4,Wilmington,0.409,18.9,4,5.594,345,12.5
GroupA,1,33,0,0.12816,6.498,6.07,8.79,20.9,Wilmington,0.409,18.9,4,5.885,345,12.5
GroupB,1,6.6,0,0.08826,5.2873,10.81,6.72,24.2,Burlington,0.413,19.2,4,6.417,305,0
GroupB,1,17.5,0,0.15876,5.2873,10.81,9.88,21.7,Burlington,0.413,19.2,4,5.961,305,0
GroupB,1,7.8,0,0.09164,5.2873,10.81,5.52,22.8,Burlington,0.413,19.2,4,6.065,305,0
GroupB,1,6.2,0,0.19539,5.2873,10.81,7.54,23.4,Burlington,0.413,19.2,4,6.245,305,0
GroupA,1,6,0,0.07896,4.2515,12.83,6.78,24.1,Woburn,0.437,18.7,5,6.273,398,0
GroupA,1,45,0,0.09512,4.5026,12.83,8.94,21.4,Woburn,0.437,18.7,5,6.286,398,0
GroupA,1,74.5,0,0.10153,4.0522,12.83,11.97,20,Woburn,0.437,18.7,5,6.279,398,0
GroupA,1,45.8,0,0.08707,4.0905,12.83,10.27,20.8,Woburn,0.437,18.7,5,6.14,398,0
GroupA,1,53.7,0,0.05646,5.0141,12.83,12.34,21.2,Woburn,0.437,18.7,5,6.232,398,0
GroupA,1,36.6,0,0.08387,4.5026,12.83,9.1,20.3,Woburn,0.437,18.7,5,5.874,398,0
GroupB,1,33.5,0,0.04113,5.4007,4.86,5.29,28,Reading,0.426,19,4,6.727,281,25
GroupB,1,70.4,0,0.04462,5.4007,4.86,7.22,23.9,Reading,0.426,19,4,6.619,281,25
GroupB,1,32.2,0,0.03659,5.4007,4.86,6.72,24.8,Reading,0.426,19,4,6.302,281,25
GroupB,1,46.7,0,0.03551,5.4007,4.86,7.51,22.9,Reading,0.426,19,4,6.167,281,25
GroupB,1,48,0,0.05059,4.7794,4.49,9.62,23.9,Wakefield,0.449,18.5,3,6.389,247,0
GroupB,1,56.1,0,0.05735,4.4377,4.49,6.53,26.6,Wakefield,0.449,18.5,3,6.63,247,0
GroupB,1,45.1,0,0.05188,4.4272,4.49,12.86,22.5,Wakefield,0.449,18.5,3,6.015,247,0
GroupB,1,56.8,0,0.07151,3.7476,4.49,8.44,22.2,Wakefield,0.449,18.5,3,6.121,247,0
GroupB,1,86.3,0,0.0566,3.4217,3.41,5.5,23.6,Melrose,0.489,17.8,2,7.007,270,0
GroupB,1,63.1,0,0.05302,3.4145,3.41,5.7,28.7,Melrose,0.489,17.8,2,7.079,270,0
GroupB,1,66.1,0,0.04684,3.0923,3.41,8.81,22.6,Melrose,0.489,17.8,2,6.417,270,0
GroupB,1,73.9,0,0.03932,3.0921,3.41,8.2,22,Melrose,0.489,17.8,2,6.405,270,0
GroupB,1,53.6,0,0.04203,3.6659,15.04,8.16,22.9,Stoneham,0.464,18.2,4,6.442,270,28
GroupB,1,28.9,0,0.02875,3.6659,15.04,6.21,25,Stoneham,0.464,18.2,4,6.211,270,28
GroupB,1,77.3,0,0.04294,3.615,15.04,10.59,20.6,Stoneham,0.464,18.2,4,6.249,270,28
GroupC,1,57.8,0,0.12204,3.4952,2.89,6.65,28.4,Winchester,0.445,18,2,6.625,276,0
GroupC,1,69.6,0,0.11504,3.4952,2.89,11.34,21.4,Winchester,0.445,18,2,6.163,276,0
GroupC,1,76,0,0.12083,3.4952,2.89,4.21,38.7,Winchester,0.445,18,2,8.069,276,0
GroupC,1,36.9,0,0.08187,3.4952,2.89,3.57,43.8,Winchester,0.445,18,2,7.82,276,0
GroupC,1,62.5,0,0.0686,3.4952,2.89,6.19,33.2,Winchester,0.445,18,2,7.416,276,0
GroupA,1,79.9,0,0.14866,2.7778,8.56,9.42,27.5,Medford,0.52,20.9,5,6.727,384,0
GroupA,1,71.3,0,0.11432,2.8561,8.56,7.67,26.5,Medford,0.52,20.9,5,6.781,384,0
GroupA,1,85.4,0,0.22876,2.7147,8.56,10.63,18.6,Medford,0.52,20.9,5,6.405,384,0
GroupA,1,87.4,0,0.21161,2.7147,8.56,13.44,19.3,Medford,0.52,20.9,5,6.137,384,0
GroupA,1,90,0,0.1396,2.421,8.56,12.33,20.1,Medford,0.52,20.9,5,6.167,384,0
GroupA,1,96.7,0,0.13262,2.1069,8.56,16.47,19.5,Medford,0.52,20.9,5,5.851,384,0
GroupA,1,91.9,0,0.1712,2.211,8.56,18.66,19.5,Medford,0.52,20.9,5,5.836,384,0
GroupA,1,85.2,0,0.13117,2.1224,8.56,14.09,20.4,Medford,0.52,20.9,5,6.127,384,0
GroupA,1,97.1,0,0.12802,2.4329,8.56,12.27,19.8,Medford,0.52,20.9,5,6.474,384,0
GroupA,1,91.2,0,0.26363,2.5451,8.56,15.55,19.4,Medford,0.52,20.9,5,6.229,384,0
GroupA,1,54.4,0,0.10793,2.7778,8.56,13,21.7,Medford,0.52,20.9,5,6.195,384,0
GroupE,1,81.6,0,0.10084,2.6775,10.01,10.16,22.8,Malden,0.547,17.8,6,6.715,432,0
GroupE,1,92.9,0,0.12329,2.3534,10.01,16.21,18.8,Malden,0.547,17.8,6,5.913,432,0
GroupE,1,95.4,0,0.22212,2.548,10.01,17.09,18.7,Malden,0.547,17.8,6,6.092,432,0
GroupE,1,84.2,0,0.14231,2.2565,10.01,10.45,18.5,Malden,0.547,17.8,6,6.254,432,0
GroupE,1,88.2,0,0.17134,2.4631,10.01,15.76,18.3,Malden,0.547,17.8,6,5.928,432,0
GroupE,1,72.5,0,0.13158,2.7301,10.01,12.04,21.2,Malden,0.547,17.8,6,6.176,432,0
GroupE,1,82.6,0,0.15098,2.7474,10.01,10.3,19.2,Malden,0.547,17.8,6,6.021,432,0
GroupE,1,73.1,0,0.13058,2.4775,10.01,15.37,20.4,Malden,0.547,17.8,6,5.872,432,0
GroupE,1,65.2,0,0.14476,2.7592,10.01,13.61,19.3,Malden,0.547,17.8,6,5.731,432,0
GroupA,1,69.7,0,0.06899,2.2577,25.65,14.37,22,Everett,0.581,19.1,2,5.87,188,0
GroupA,1,84.1,0,0.07165,2.1974,25.65,14.27,20.3,Everett,0.581,19.1,2,6.004,188,0
GroupA,1,92.9,0,0.09299,2.0869,25.65,17.93,20.5,Everett,0.581,19.1,2,5.961,188,0
GroupA,1,97,0,0.15038,1.9444,25.65,25.41,17.3,Everett,0.581,19.1,2,5.856,188,0
GroupA,1,95.8,0,0.09849,2.0063,25.65,17.58,18.8,Everett,0.581,19.1,2,5.879,188,0
GroupA,1,88.4,0,0.16902,1.9929,25.65,14.81,21.4,Everett,0.581,19.1,2,5.986,188,0
GroupA,1,95.6,0,0.38735,1.7572,25.65,27.26,15.7,Everett,0.581,19.1,2,5.613,188,0
GroupE,1,96,0,0.25915,1.7883,21.89,17.19,16.2,Somerville,0.624,21.2,4,5.693,437,0
GroupE,1,98.8,0,0.32543,1.8125,21.89,15.39,18,Somerville,0.624,21.2,4,6.431,437,0
GroupE,1,94.7,0,0.88125,1.9799,21.89,18.34,14.3,Somerville,0.624,21.2,4,5.637,437,0
GroupE,1,98.9,0,0.34006,2.1185,21.89,12.6,19.2,Somerville,0.624,21.2,4,6.458,437,0
GroupE,1,97.7,0,1.19294,2.271,21.89,12.26,19.6,Somerville,0.624,21.2,4,6.326,437,0
GroupE,1,97.9,0,0.59005,2.3274,21.89,11.12,23,Somerville,0.624,21.2,4,6.372,437,0
GroupE,1,95.4,0,0.32982,2.4699,21.89,15.03,18.4,Somerville,0.624,21.2,4,5.822,437,0
GroupE,1,98.4,0,0.97617,2.346,21.89,17.31,15.6,Somerville,0.624,21.2,4,5.757,437,0
GroupE,1,98.2,0,0.55778,2.1107,21.89,16.96,18.1,Somerville,0.624,21.2,4,6.335,437,0
GroupE,1,93.5,0,0.32264,1.9669,21.89,16.9,17.4,Somerville,0.624,21.2,4,5.942,437,0
GroupE,1,98.4,0,0.35233,1.8498,21.89,14.59,17.1,Somerville,0.624,21.2,4,6.454,437,0
GroupE,1,98.2,0,0.2498,1.6686,21.89,21.32,13.3,Somerville,0.624,21.2,4,5.857,437,0
GroupE,1,97.9,0,0.54452,1.6687,21.89,18.46,17.8,Somerville,0.624,21.2,4,6.151,437,0
GroupE,1,93.6,0,0.2909,1.6119,21.89,24.16,14,Somerville,0.624,21.2,4,6.174,437,0
GroupE,1,100,0,1.62864,1.4394,21.89,34.41,14.4,Somerville,0.624,21.2,4,5.019,437,0
GroupE,1,100,1,3.32105,1.3216,19.58,26.82,13.4,Cambridge,0.871,14.7,5,5.403,403,0
GroupE,1,100,0,4.0974,1.4118,19.58,26.42,15.6,Cambridge,0.871,14.7,5,5.468,403,0
GroupE,1,97.8,0,2.77974,1.3459,19.58,29.29,11.8,Cambridge,0.871,14.7,5,4.903,403,0
GroupE,1,100,0,2.37934,1.4191,19.58,27.8,13.8,Cambridge,0.871,14.7,5,6.13,403,0
GroupE,1,100,0,2.15505,1.5166,19.58,16.65,15.6,Cambridge,0.871,14.7,5,5.628,403,0
GroupE,1,95.7,0,2.36862,1.4608,19.58,29.53,14.6,Cambridge,0.871,14.7,5,4.926,403,0
GroupE,1,93.8,0,2.33099,1.5296,19.58,28.32,17.8,Cambridge,0.871,14.7,5,5.186,403,0
GroupE,1,94.9,0,2.73397,1.5257,19.58,21.45,15.4,Cambridge,0.871,14.7,5,5.597,403,0
GroupE,1,97.3,0,1.6566,1.618,19.58,14.1,21.5,Cambridge,0.871,14.7,5,6.122,403,0
GroupE,1,100,0,1.49632,1.5916,19.58,13.28,19.6,Cambridge,0.871,14.7,5,5.404,403,0
GroupE,1,88,1,1.12658,1.6102,19.58,12.12,15.3,Cambridge,0.871,14.7,5,5.012,403,0
GroupE,1,98.5,0,2.14918,1.6232,19.58,15.79,19.4,Cambridge,0.871,14.7,5,5.709,403,0
GroupE,1,96,1,1.41385,1.7494,19.58,15.12,17,Cambridge,0.871,14.7,5,6.129,403,0
GroupE,1,82.6,1,3.53501,1.7455,19.58,15.02,15.6,Cambridge,0.871,14.7,5,6.152,403,0
GroupE,1,94,0,2.44668,1.7364,19.58,16.14,13.1,Cambridge,0.871,14.7,5,5.272,403,0
GroupE,1,97.4,0,1.22358,1.8773,19.58,4.59,41.3,Cambridge,0.605,14.7,5,6.943,403,0
GroupE,1,100,0,1.34284,1.7573,19.58,6.43,24.3,Cambridge,0.605,14.7,5,6.066,403,0
GroupE,1,100,0,1.42502,1.7659,19.58,7.39,23.3,Cambridge,0.871,14.7,5,6.51,403,0
GroupE,1,92.6,1,1.27346,1.7984,19.58,5.5,27,Cambridge,0.605,14.7,5,6.25,403,0
GroupE,1,90.8,0,1.46336,1.9709,19.58,1.73,50,Cambridge,0.605,14.7,5,7.489,403,0
GroupE,1,98.2,1,1.83377,2.0407,19.58,1.92,50,Cambridge,0.605,14.7,5,7.802,403,0
GroupE,1,93.9,1,1.51902,2.162,19.58,3.32,50,Cambridge,0.605,14.7,5,8.375,403,0
GroupE,1,91.8,0,2.24236,2.422,19.58,11.64,22.7,Cambridge,0.605,14.7,5,5.854,403,0
GroupE,1,93,0,2.924,2.2834,19.58,9.81,25,Cambridge,0.605,14.7,5,6.101,403,0
GroupE,1,96.2,0,2.01019,2.0459,19.58,3.7,50,Cambridge,0.605,14.7,5,7.929,403,0
GroupE,1,79.2,0,1.80028,2.4259,19.58,12.14,23.8,Cambridge,0.605,14.7,5,5.877,403,0
GroupE,1,96.1,0,2.3004,2.1,19.58,11.1,23.8,Cambridge,0.605,14.7,5,6.319,403,0
