Neighborhood (group),Number of Records,Age,Chas,Crim,Dis,Indus,Lstat,Mv,Neighborhood,Nox,Ptratio,Rad,Rooms,Tax,Zn
GroupA,1,58.5,0,0.06151,4.8122,5.19,9.29,18.7,Weymouth,0.515,20.2,5,5.968,224,0
GroupC,1,49.3,0,0.01301,7.0379,1.52,5.49,32.7,Cohasset,0.442,15.5,1,7.241,284,35
GroupE,1,59.7,0,0.02498,6.2669,1.89,8.65,16.5,Hull,0.518,15.9,1,6.54,422,0
GroupC,1,56.4,0,0.02543,5.7321,3.78,7.18,23.9,Hingham,0.484,17.6,5,6.696,370,55
GroupC,1,28.1,0,0.03049,6.4654,3.78,4.61,31.2,Hingham,0.484,17.6,5,6.874,370,55
GroupE,1,48.5,0,0.03113,8.0136,4.39,10.53,17.5,Rockland,0.442,18.8,3,6.014,352,0
GroupE,1,52.3,0,0.06162,8.0136,4.39,12.67,17.2,Rockland,0.442,18.8,3,5.898,352,0
GroupB,1,27.7,0,0.0187,8.5353,4.15,6.36,23.1,Hanover,0.429,17.9,4,6.516,351,85
GroupB,1,29.7,0,0.01501,8.344,2.01,5.99,24.5,Norwell,0.435,17,4,6.635,280,80
GroupB,1,34.5,0,0.02899,8.7921,1.25,5.89,26.6,Scituate,0.429,19.7,1,6.939,335,40
GroupB,1,44.4,0,0.06211,8.7921,1.25,5.98,22.9,Scituate,0.429,19.7,1,6.49,335,40
GroupA,1,35.9,0,0.0795,10.7103,1.69,5.49,24.1,Marshfield,0.411,18.3,4,6.579,411,60
GroupA,1,18.5,0,0.07244,10.7103,1.69,7.79,18.6,Marshfield,0.411,18.3,4,5.884,411,60
GroupC,1,36.1,0,0.01709,12.1265,2.02,4.5,30.1,Duxbury,0.41,17,5,6.728,187,90
GroupE,1,21.9,0,0.04301,10.5857,1.91,8.05,18.2,Pembroke,0.413,22,4,5.663,334,80
GroupE,1,19.5,0,0.10659,10.5857,1.91,5.57,20.6,Pembroke,0.413,22,4,5.936,334,80
GroupA,1,97.4,1,8.98296,2.1222,18.1,17.6,17.8,Allston-Brighton,0.77,20.2,24,6.212,666,0
GroupA,1,91,1,3.8497,2.5052,18.1,13.27,21.7,Allston-Brighton,0.77,20.2,24,6.395,666,0
GroupA,1,83.4,1,5.20177,2.7227,18.1,11.48,22.7,Allston-Brighton,0.77,20.2,24,6.127,666,0
GroupA,1,81.3,0,4.26131,2.5091,18.1,12.67,22.6,Allston-Brighton,0.77,20.2,24,6.112,666,0
GroupA,1,88,0,4.54192,2.5182,18.1,7.79,25,Allston-Brighton,0.77,20.2,24,6.398,666,0
GroupA,1,91.1,0,3.83684,2.2955,18.1,14.19,19.9,Allston-Brighton,0.77,20.2,24,6.251,666,0
GroupA,1,96.2,0,3.67822,2.1036,18.1,10.19,20.8,Allston-Brighton,0.77,20.2,24,5.362,666,0
GroupA,1,89,1,4.22239,1.9047,18.1,14.64,16.8,Allston-Brighton,0.77,20.2,24,5.803,666,0
GroupC,1,82.9,1,3.47428,1.9047,18.1,5.29,21.9,Back_Bay,0.718,20.2,24,8.78,666,0
GroupC,1,87.9,0,4.55587,1.6132,18.1,7.12,27.5,Back_Bay,0.718,20.2,24,3.561,666,0
GroupC,1,91.4,0,3.69695,1.7523,18.1,14,21.9,Back_Bay,0.718,20.2,24,4.963,666,0
GroupC,1,100,0,13.5222,1.5106,18.1,13.33,23.1,Back_Bay,0.631,20.2,24,3.863,666,0
GroupC,1,100,0,4.89822,1.3325,18.1,3.26,50,Back_Bay,0.631,20.2,24,4.97,666,0
GroupC,1,96.8,1,5.66998,1.3567,18.1,3.73,50,Back_Bay,0.631,20.2,24,6.683,666,0
GroupD,1,97.5,1,6.53876,1.2024,18.1,2.96,50,Beacon_Hill,0.631,20.2,24,7.016,666,0
GroupD,1,100,0,9.2323,1.1691,18.1,9.53,50,Beacon_Hill,0.631,20.2,24,6.216,666,0
GroupD,1,89.6,1,8.26725,1.1296,18.1,8.88,50,Beacon_Hill,0.668,20.2,24,5.875,666,0
GroupF,1,100,0,11.1081,1.1742,18.1,34.77,13.8,North_End,0.668,20.2,24,4.906,666,0
GroupF,1,100,0,18.4982,1.137,18.1,37.97,13.8,North_End,0.668,20.2,24,4.138,666,0
GroupF,1,97.9,0,19.6091,1.3163,18.1,13.44,15,Charlestown,0.671,20.2,24,7.313,666,0
GroupF,1,93.3,0,15.288,1.3449,18.1,23.24,13.9,Charlestown,0.671,20.2,24,6.649,666,0
GroupF,1,98.8,0,9.82349,1.358,18.1,21.24,13.3,Charlestown,0.671,20.2,24,6.794,666,0
GroupF,1,96.2,0,23.6482,1.3861,18.1,23.69,13.1,Charlestown,0.671,20.2,24,6.38,666,0
GroupF,1,100,0,17.8667,1.3861,18.1,21.78,10.2,Charlestown,0.671,20.2,24,6.223,666,0
GroupF,1,91.9,0,88.9762,1.4165,18.1,17.21,10.4,Charlestown,0.671,20.2,24,6.968,666,0
GroupF,1,99.1,0,15.8744,1.5192,18.1,21.08,10.9,Charlestown,0.671,20.2,24,6.545,666,0
GroupF,1,100,0,9.18702,1.5804,18.1,23.6,11.3,East_Boston,0.7,20.2,24,5.536,666,0
GroupF,1,100,0,7.99248,1.5331,18.1,24.56,12.3,East_Boston,0.7,20.2,24,5.52,666,0
GroupF,1,91.2,0,20.0849,1.4395,18.1,30.63,8.8,East_Boston,0.7,20.2,24,4.368,666,0
GroupF,1,98.1,0,16.8118,1.4261,18.1,30.81,7.2,East_Boston,0.7,20.2,24,5.277,666,0
GroupF,1,100,0,24.3938,1.4672,18.1,28.28,10.5,East_Boston,0.7,20.2,24,4.652,666,0
GroupF,1,89.5,0,22.5971,1.5184,18.1,31.99,7.4,East_Boston,0.7,20.2,24,5,666,0
GroupF,1,100,0,14.3337,1.5895,18.1,30.62,10.2,East_Boston,0.7,20.2,24,4.88,666,0
GroupF,1,98.9,0,8.15174,1.7281,18.1,20.85,11.5,East_Boston,0.7,20.2,24,5.39,666,0
GroupF,1,97,0,6.96215,1.9265,18.1,17.11,15.1,East_Boston,0.7,20.2,24,5.713,666,0
GroupF,1,82.5,0,5.29305,2.1678,18.1,18.76,23.2,East_Boston,0.7,20.2,24,6.051,666,0
GroupF,1,97,0,11.5779,1.77,18.1,25.68,9.7,East_Boston,0.7,20.2,24,5.036,666,0
GroupF,1,92.6,0,8.64476,1.7912,18.1,15.17,13.8,South_Boston,0.693,20.2,24,6.193,666,0
GroupF,1,94.7,0,13.3598,1.7821,18.1,16.35,12.7,South_Boston,0.693,20.2,24,5.887,666,0
GroupF,1,98.8,0,8.71675,1.7257,18.1,17.12,13.1,South_Boston,0.693,20.2,24,6.471,666,0
GroupF,1,96,0,5.87205,1.6768,18.1,19.37,12.5,South_Boston,0.693,20.2,24,6.405,666,0
GroupF,1,98.9,0,7.67202,1.6334,18.1,19.92,8.5,South_Boston,0.693,20.2,24,5.747,666,0
GroupF,1,100,0,38.3518,1.4896,18.1,30.59,5,South_Boston,0.693,20.2,24,5.453,666,0
GroupF,1,77.8,0,9.91655,1.5004,18.1,29.97,6.3,South_Boston,0.693,20.2,24,5.852,666,0
GroupF,1,100,0,25.0461,1.5888,18.1,26.77,5.6,South_Boston,0.693,20.2,24,5.987,666,0
GroupF,1,100,0,14.2362,1.5741,18.1,20.32,7.2,South_Boston,0.693,20.2,24,6.343,666,0
GroupF,1,100,0,9.59571,1.639,18.1,20.31,12.1,South_Boston,0.693,20.2,24,6.404,666,0
GroupF,1,96,0,24.8017,1.7028,18.1,19.77,8.3,South_Boston,0.693,20.2,24,5.349,666,0
GroupF,1,85.4,0,41.5292,1.6074,18.1,27.38,8.5,South_Boston,0.693,20.2,24,5.531,666,0
GroupF,1,100,0,67.9208,1.4254,18.1,22.98,5,South_Boston,0.693,20.2,24,5.683,666,0
GroupE,1,100,0,20.7162,1.1781,18.1,23.34,11.9,Downtown,0.659,20.2,24,4.138,666,0
GroupE,1,100,0,11.9511,1.2852,18.1,12.13,27.9,Downtown,0.659,20.2,24,5.608,666,0
GroupE,1,97.9,0,7.40389,1.4547,18.1,26.4,17.2,Downtown,0.597,20.2,24,5.617,666,0
GroupE,1,100,0,14.4383,1.4655,18.1,19.78,27.5,Downtown,0.597,20.2,24,6.852,666,0
GroupE,1,100,0,51.1358,1.413,18.1,10.11,15,Downtown,0.597,20.2,24,5.757,666,0
GroupE,1,100,0,14.0507,1.5275,18.1,21.22,17.2,Downtown,0.597,20.2,24,6.657,666,0
GroupE,1,100,0,18.811,1.5539,18.1,34.37,17.9,Downtown,0.597,20.2,24,4.628,666,0
GroupE,1,100,0,28.6558,1.5894,18.1,20.08,16.3,Downtown,0.597,20.2,24,5.155,666,0
GroupF,1,100,0,45.7461,1.6582,18.1,36.98,7,Roxbury,0.693,20.2,24,4.519,666,0
GroupF,1,100,0,18.0846,1.8347,18.1,29.05,7.2,Roxbury,0.679,20.2,24,6.434,666,0
GroupF,1,90.8,0,10.8342,1.8195,18.1,25.79,7.5,Roxbury,0.679,20.2,24,6.782,666,0
GroupF,1,89.1,0,25.9406,1.6475,18.1,26.64,10.4,Roxbury,0.679,20.2,24,5.304,666,0
GroupF,1,100,0,73.5341,1.8026,18.1,20.62,8.8,Roxbury,0.679,20.2,24,5.957,666,0
GroupF,1,76.5,0,11.8123,1.794,18.1,22.74,8.4,Roxbury,0.718,20.2,24,6.824,666,0
GroupF,1,100,0,11.0874,1.8589,18.1,15.02,16.7,Roxbury,0.718,20.2,24,6.411,666,0
GroupF,1,95.3,0,7.02259,1.8746,18.1,15.7,14.2,Roxbury,0.718,20.2,24,6.006,666,0
GroupF,1,87.6,0,12.0482,1.9512,18.1,14.1,20.8,Roxbury,0.614,20.2,24,5.648,666,0
GroupF,1,85.1,0,7.05042,2.0218,18.1,23.29,13.4,Roxbury,0.614,20.2,24,6.103,666,0
GroupF,1,70.6,0,8.79212,2.0635,18.1,17.16,11.7,Roxbury,0.584,20.2,24,5.565,666,0
GroupF,1,95.4,0,15.8603,1.9096,18.1,24.39,8.3,Roxbury,0.679,20.2,24,5.896,666,0
GroupF,1,59.7,0,12.2472,1.9976,18.1,15.69,10.2,Roxbury,0.584,20.2,24,5.837,666,0
GroupF,1,78.7,0,37.6619,1.8629,18.1,14.52,10.9,Roxbury,0.679,20.2,24,6.202,666,0
GroupF,1,78.1,0,7.36711,1.9356,18.1,21.52,11,Roxbury,0.679,20.2,24,6.193,666,0
GroupF,1,95.6,0,9.33889,1.9682,18.1,24.08,9.5,Roxbury,0.679,20.2,24,6.38,666,0
GroupF,1,86.1,0,8.49213,2.0527,18.1,17.64,14.5,Roxbury,0.584,20.2,24,6.348,666,0
GroupF,1,94.3,0,10.0623,2.0882,18.1,19.69,14.1,Roxbury,0.584,20.2,24,6.833,666,0
GroupF,1,74.8,0,6.44405,2.2004,18.1,12.03,16.1,Roxbury,0.584,20.2,24,6.425,666,0
GroupF,1,87.9,0,5.58107,2.3158,18.1,16.22,14.3,Savin_Hill,0.713,20.2,24,6.436,666,0
GroupF,1,95,0,13.9134,2.2222,18.1,15.17,11.7,Savin_Hill,0.713,20.2,24,6.208,666,0
GroupF,1,94.6,0,11.1604,2.1247,18.1,23.27,13.4,Savin_Hill,0.74,20.2,24,6.629,666,0
GroupF,1,93.3,0,14.4208,2.0026,18.1,18.05,9.6,Savin_Hill,0.74,20.2,24,6.461,666,0
GroupF,1,100,0,15.1772,1.9142,18.1,26.45,8.2,Savin_Hill,0.74,20.2,24,6.152,666,0
GroupF,1,87.9,0,13.6781,1.8206,18.1,34.02,8.4,Savin_Hill,0.74,20.2,24,5.935,666,0
GroupF,1,93.9,0,9.39063,1.8172,18.1,22.88,12.8,Savin_Hill,0.74,20.2,24,5.627,666,0
GroupF,1,92.4,0,22.0511,1.8662,18.1,22.11,10.5,Savin_Hill,0.74,20.2,24,5.818,666,0
GroupF,1,97.2,0,9.72418,2.0651,18.1,19.52,17.1,Savin_Hill,0.74,20.2,24,6.406,666,0
GroupF,1,100,0,5.66637,2.0048,18.1,16.59,14.8,Savin_Hill,0.74,20.2,24,6.219,666,0
GroupF,1,100,0,9.96654,1.9784,18.1,18.85,15.4,Savin_Hill,0.74,20.2,24,6.485,666,0
GroupF,1,96.6,0,12.8023,1.8956,18.1,23.79,10.8,Savin_Hill,0.74,20.2,24,5.854,666,0
GroupF,1,94.8,0,10.6718,1.9879,18.1,23.98,11.8,Savin_Hill,0.74,20.2,24,6.459,666,0
GroupF,1,96.4,0,6.28807,2.072,18.1,17.79,14.9,Savin_Hill,0.74,20.2,24,6.341,666,0
GroupF,1,96.6,0,9.92485,2.198,18.1,16.44,12.6,Savin_Hill,0.74,20.2,24,6.251,666,0
GroupF,1,98.7,0,9.32909,2.2616,18.1,18.13,14.1,Savin_Hill,0.713,20.2,24,6.185,666,0
GroupF,1,98.3,0,7.52601,2.185,18.1,19.31,13,Savin_Hill,0.713,20.2,24,6.417,666,0
GroupF,1,92.6,0,6.71772,2.3236,18.1,17.44,13.4,Savin_Hill,0.713,20.2,24,6.749,666,0
GroupF,1,98.2,0,5.44114,2.3552,18.1,17.73,15.2,Savin_Hill,0.713,20.2,24,6.655,666,0
GroupF,1,91.8,0,5.09017,2.3682,18.1,17.27,16.1,Savin_Hill,0.713,20.2,24,6.297,666,0
GroupF,1,99.3,0,8.24809,2.4527,18.1,16.74,17.8,Savin_Hill,0.713,20.2,24,7.393,666,0
GroupF,1,94.1,0,9.51363,2.4961,18.1,18.71,14.4,Savin_Hill,0.713,20.2,24,6.728,666,0
GroupF,1,86.5,0,4.75237,2.4358,18.1,18.13,14.1,Savin_Hill,0.713,20.2,24,6.525,666,0
GroupE,1,87.9,0,4.66883,2.5806,18.1,19.01,12.7,Dorchester,0.713,20.2,24,5.976,666,0
GroupE,1,80.3,0,8.20058,2.7792,18.1,16.94,13.5,Dorchester,0.713,20.2,24,5.936,666,0
GroupE,1,83.7,0,7.75223,2.7831,18.1,16.23,14.9,Dorchester,0.713,20.2,24,6.301,666,0
GroupE,1,84.4,0,6.80117,2.7175,18.1,14.7,20,Dorchester,0.713,20.2,24,6.081,666,0
GroupE,1,90,0,4.81213,2.5975,18.1,16.42,16.4,Dorchester,0.713,20.2,24,6.701,666,0
GroupE,1,88.4,0,3.69311,2.5671,18.1,14.65,17.7,Dorchester,0.713,20.2,24,6.376,666,0
GroupE,1,83,0,6.65492,2.7344,18.1,13.99,19.5,Dorchester,0.713,20.2,24,6.317,666,0
GroupE,1,89.9,0,5.82115,2.8016,18.1,10.29,20.2,Dorchester,0.713,20.2,24,6.513,666,0
GroupE,1,65.4,0,7.83932,2.9634,18.1,13.22,21.4,Dorchester,0.655,20.2,24,6.209,666,0
GroupE,1,48.2,0,3.1636,3.0665,18.1,14.13,19.9,Dorchester,0.655,20.2,24,5.759,666,0
GroupE,1,84.7,0,3.77498,2.8715,18.1,17.15,19,Dorchester,0.655,20.2,24,5.952,666,0
GroupA,1,94.5,0,4.42228,2.5403,18.1,21.32,19.1,Mattapan,0.584,20.2,24,6.003,666,0
GroupA,1,71,0,15.5757,2.9084,18.1,18.13,19.1,Mattapan,0.58,20.2,24,5.926,666,0
GroupA,1,56.7,0,13.0751,2.8237,18.1,14.76,20.1,Mattapan,0.58,20.2,24,5.713,666,0
GroupA,1,84,0,4.34879,3.0334,18.1,16.29,19.9,Mattapan,0.58,20.2,24,6.167,666,0
GroupA,1,90.7,0,4.03841,3.0993,18.1,12.87,19.6,Mattapan,0.532,20.2,24,6.229,666,0
GroupA,1,75,0,3.56868,2.8965,18.1,14.36,23.2,Mattapan,0.58,20.2,24,6.437,666,0
GroupE,1,67.6,0,4.64689,2.5329,18.1,11.66,29.8,Forest_Hills,0.614,20.2,24,6.98,666,0
GroupE,1,95.4,0,8.05579,2.4298,18.1,18.14,13.8,Forest_Hills,0.584,20.2,24,5.427,666,0
GroupE,1,97.4,0,6.39312,2.206,18.1,24.1,13.3,Forest_Hills,0.584,20.2,24,6.162,666,0
GroupE,1,93.6,0,4.87141,2.3053,18.1,18.68,16.7,Forest_Hills,0.614,20.2,24,6.484,666,0
GroupE,1,97.3,0,15.0234,2.1007,18.1,24.91,12,Forest_Hills,0.614,20.2,24,5.304,666,0
GroupE,1,96.7,0,10.233,2.1705,18.1,18.03,14.6,Forest_Hills,0.614,20.2,24,6.185,666,0
GroupE,1,88,0,14.3337,1.9512,18.1,13.11,21.4,Forest_Hills,0.614,20.2,24,6.229,666,0
GroupB,1,64.7,0,5.82401,3.4242,18.1,10.74,23,West_Roxbury,0.532,20.2,24,6.242,666,0
GroupB,1,74.9,0,5.70818,3.3317,18.1,7.74,23.7,West_Roxbury,0.532,20.2,24,6.75,666,0
GroupB,1,77,0,5.73116,3.4106,18.1,7.01,25,West_Roxbury,0.532,20.2,24,7.061,666,0
GroupB,1,40.3,0,2.81838,4.0983,18.1,10.42,21.8,West_Roxbury,0.532,20.2,24,5.762,666,0
GroupA,1,41.9,0,2.37857,3.724,18.1,13.34,20.6,Hyde_Park,0.583,20.2,24,5.871,666,0
GroupA,1,51.9,0,3.67367,3.9917,18.1,10.58,21.2,Hyde_Park,0.583,20.2,24,6.312,666,0
GroupA,1,79.8,0,5.69175,3.5459,18.1,14.98,19.1,Hyde_Park,0.583,20.2,24,6.114,666,0
GroupA,1,53.2,0,4.83567,3.1523,18.1,11.45,20.6,Hyde_Park,0.583,20.2,24,5.905,666,0
GroupF,1,92.7,0,0.15086,1.8209,27.74,18.06,15.2,Chelsea,0.609,20.1,4,5.454,711,0
GroupF,1,98.3,0,0.18337,1.7554,27.74,23.97,7,Chelsea,0.609,20.1,4,5.414,711,0
GroupF,1,98,0,0.20746,1.8226,27.74,29.68,8.1,Chelsea,0.609,20.1,4,5.093,711,0
GroupF,1,98.8,0,0.10574,1.8681,27.74,18.07,13.6,Chelsea,0.609,20.1,4,5.983,711,0
GroupF,1,83.5,0,0.11132,2.1099,27.74,13.35,20.1,Chelsea,0.609,20.1,4,5.983,711,0
GroupA,1,54,0,0.17331,2.3817,9.69,12.01,21.8,Revere,0.585,19.2,6,5.707,391,0
GroupA,1,42.6,0,0.27957,2.3817,9.69,13.59,24.5,Revere,0.585,19.2,6,5.926,391,0
GroupA,1,28.8,0,0.17899,2.7986,9.69,17.6,23.1,Revere,0.585,19.2,6,5.67,391,0
GroupA,1,72.9,0,0.2896,2.7986,9.69,21.14,19.7,Revere,0.585,19.2,6,5.39,391,0
GroupA,1,70.6,0,0.26838,2.8927,9.69,14.1,18.3,Revere,0.585,19.2,6,5.794,391,0
GroupA,1,65.3,0,0.23912,2.4091,9.69,12.92,21.2,Revere,0.585,19.2,6,6.019,391,0
GroupA,1,73.5,0,0.17783,2.3999,9.69,15.1,17.5,Revere,0.585,19.2,6,5.569,391,0
GroupA,1,79.7,0,0.22438,2.4982,9.69,14.33,16.8,Revere,0.585,19.2,6,6.027,391,0
GroupB,1,69.1,0,0.06263,2.4786,11.93,9.67,22.4,Winthrop,0.573,21,1,6.593,273,0
GroupB,1,76.7,0,0.04527,2.2875,11.93,9.08,20.6,Winthrop,0.573,21,1,6.12,273,0
GroupB,1,91,0,0.06076,2.1675,11.93,5.64,23.9,Winthrop,0.573,21,1,6.976,273,0
GroupB,1,89.3,0,0.10959,2.3889,11.93,6.48,22,Winthrop,0.573,21,1,6.794,273,0
GroupB,1,80.8,0,0.04741,2.505,11.93,7.88,19,Winthrop,0.573,21,1,6.03,273,0
