DATE,PRICENPQUSDM
1990-01-01,276
1990-02-01,300
1990-03-01,289
1990-04-01,276
1990-05-01,260
1990-06-01,255
1990-07-01,256
1990-08-01,260
1990-09-01,259
1990-10-01,281
1990-11-01,272
1990-12-01,264
1991-01-01,305
1991-02-01,326
1991-03-01,311
1991-04-01,286
1991-05-01,288
1991-06-01,293
1991-07-01,306
1991-08-01,298
1991-09-01,290
1991-10-01,277
1991-11-01,274
1991-12-01,270
1992-01-01,276
1992-02-01,278
1992-03-01,277
1992-04-01,279
1992-05-01,274
1992-06-01,266
1992-07-01,279
1992-08-01,269
1992-09-01,256
1992-10-01,250
1992-11-01,252
1992-12-01,256
1993-01-01,262
1993-02-01,254
1993-03-01,230
1993-04-01,206
1993-05-01,185
1993-06-01,189
1993-07-01,210
1993-08-01,210
1993-09-01,206
1993-10-01,257
1993-11-01,323
1993-12-01,315
1994-01-01,354
1994-02-01,363
1994-03-01,274
1994-04-01,269
1994-05-01,235
1994-06-01,216
1994-07-01,226
1994-08-01,250
1994-09-01,259.75
1994-10-01,261.75
1994-11-01,264.5
1994-12-01,260.5
1995-01-01,274.75
1995-02-01,286.25
1995-03-01,283
1995-04-01,281.5
1995-05-01,287.75
1995-06-01,326
1995-07-01,345.600006103516
1995-08-01,340.666656494141
1995-09-01,359.75
1995-10-01,382.600006103516
1995-11-01,340.5
1995-12-01,341.25
1996-01-01,364.399993896484
1996-02-01,367
1996-03-01,362.5
1996-04-01,325.799987792969
1996-05-01,332.25
1996-06-01,341.5
1996-07-01,358
1996-08-01,335.5
1996-09-01,328.399993896484
1996-10-01,312.75
1996-11-01,315
1996-12-01,313.666656494141
1997-01-01,356
1997-02-01,347
1997-03-01,323.399993896484
1997-04-01,299.333343505859
1997-05-01,324.5
1997-06-01,323.200012207031
1997-07-01,320
1997-08-01,285
1997-09-01,270.200012207031
1997-10-01,265.75
1997-11-01,251.75
1997-12-01,263.5
1998-01-01,293.5
1998-02-01,297
1998-03-01,295
1998-04-01,311
1998-05-01,318.5
1998-06-01,331
1998-07-01,323
1998-08-01,323
1998-09-01,322
1998-10-01,298.25
1998-11-01,270.333343505859
1998-12-01,282.5
1999-01-01,301.666656494141
1999-02-01,280
1999-03-01,256.2
1999-04-01,235.5
1999-05-01,244.25
1999-06-01,254.75
1999-07-01,255.75
1999-08-01,251
1999-09-01,233
1999-10-01,217
1999-11-01,227.5
1999-12-01,231
2000-01-01,247.5
2000-02-01,243
2000-03-01,228.8
2000-04-01,217
2000-05-01,198.782608695652
2000-06-01,197.863636363636
2000-07-01,191
2000-08-01,187.086956521739
2000-09-01,178.142857142857
2000-10-01,186.727272727273
2000-11-01,184.863636363636
2000-12-01,183.571428571429
2001-01-01,184.434782608696
2001-02-01,185.1
2001-03-01,177.090909090909
2001-04-01,162.095238095238
2001-05-01,164.260869565217
2001-06-01,167.761904761905
2001-07-01,169.727272727273
2001-08-01,168.739130434783
2001-09-01,173
2001-10-01,170.869565217391
2001-11-01,170
2001-12-01,179.380952380952
2002-01-01,191.130434782609
2002-02-01,194.35
2002-03-01,189.285714285714
2002-04-01,189.5
2002-05-01,198.304347826087
2002-06-01,202
2002-07-01,199.608695652174
2002-08-01,191.318181818182
2002-09-01,188.47619047619
2002-10-01,185.478260869565
2002-11-01,187.190476190476
2002-12-01,185.272727272727
2003-01-01,199.739130434783
2003-02-01,198.75
2003-03-01,196.952380952381
2003-04-01,195.181818181818
2003-05-01,197.727272727273
2003-06-01,203.666666666667
2003-07-01,199.478260869565
2003-08-01,196.428571428571
2003-09-01,202.863636363636
2003-10-01,204
2003-11-01,201.75
2003-12-01,197
2004-01-01,207.454545454545
2004-02-01,213.25
2004-03-01,240.347826086957
2004-04-01,253.409090909091
2004-05-01,251.571428571429
2004-06-01,244.227272727273
2004-07-01,240.318181818182
2004-08-01,252.545454545455
2004-09-01,252
2004-10-01,253.523809523809
2004-11-01,262.318181818182
2004-12-01,278.434782608696
2005-01-01,288.380952380952
2005-02-01,292.35
2005-03-01,295
2005-04-01,299.142857142857
2005-05-01,295.272727272727
2005-06-01,287.045454545455
2005-07-01,278.714285714286
2005-08-01,283.478260869565
2005-09-01,287.409090909091
2005-10-01,290.714285714286
2005-11-01,278.954545454545
2005-12-01,277.272727272727
2006-01-01,284.454545454545
2006-02-01,296.4
2006-03-01,297.739130434783
2006-04-01,298.5
2006-05-01,301.260869565217
2006-06-01,305.590909090909
2006-07-01,312.428571428571
2006-08-01,313.391304347826
2006-09-01,312.904761904762
2006-10-01,309.636363636364
2006-11-01,300.590909090909
2006-12-01,309.285714285714
2007-01-01,313.478260869565
2007-02-01,316.05
2007-03-01,326.181818181818
2007-04-01,322.285714285714
2007-05-01,320.608695652174
2007-06-01,326.285714285714
2007-07-01,332.545454545455
2007-08-01,331.478260869565
2007-09-01,330
2007-10-01,335.304347826087
2007-11-01,356.5
2007-12-01,378
2008-01-01,393.478260869565
2008-02-01,481.142857142857
2008-03-01,672.644748327029
2008-04-01,1015.21126461713
2008-05-01,1009.31818181818
2008-06-01,834.6
2008-07-01,799
2008-08-01,737
2008-09-01,722
2008-10-01,624
2008-11-01,563.25
2008-12-01,550.75
2009-01-01,615.25
2009-02-01,634
2009-03-01,625.25
2009-04-01,577.25
2009-05-01,540.75
2009-06-01,548.6
2009-07-01,623
2009-08-01,576.25
2009-09-01,593.666666666667
2009-10-01,566.25
2009-11-01,566.25
2009-12-01,606
2010-01-01,598
2010-02-01,584.75
2010-03-01,540.125
2010-04-01,502.227272727273
2010-05-01,472.47619047619
2010-06-01,458.545454545455
2010-07-01,470.681818181818
2010-08-01,486.863636363636
2010-09-01,519.954545454546
2010-10-01,532.380952380952
2010-11-01,543.136363636364
2010-12-01,536.782608695652
2011-01-01,528.380952380952
2011-02-01,532.8
2011-03-01,508.95652173913
2011-04-01,500.571428571429
2011-05-01,500.545454545455
2011-06-01,518.090909090909
2011-07-01,546.190476190476
2011-08-01,577.304347826087
2011-09-01,615.545454545455
2011-10-01,602.142857142857
2011-11-01,609.090909090909
2011-12-01,580.909090909091
2012-01-01,541.058823529412
2012-02-01,547.47619047619
2012-03-01,577.045454545455
2012-04-01,585.952380952381
2012-05-01,612.434782608696
2012-06-01,606.142857142857
2012-07-01,578.363636363636
2012-08-01,582.869565217391
2012-09-01,590.5
2012-10-01,584.739130434783
2012-11-01,590.727272727273
2012-12-01,565.52380952381
2013-01-01,573.391304347826
2013-02-01,574.066666666667
2013-03-01,564.52380952381
2013-04-01,553.727272727273
2013-05-01,552.086956521739
2013-06-01,546.25
2013-07-01,538.260869565217
2013-08-01,509.772727272727
2013-09-01,470
2013-10-01,453.260869565217
2013-11-01,448.809523809524
2013-12-01,447.545454545455
2014-01-01,441.04347826087
2014-02-01,447
2014-03-01,434.142857142857
2014-04-01,409.941176470588
2014-05-01,403.590909090909
2014-06-01,414.666666666667
2014-07-01,428
2014-08-01,440.380952380952
2014-09-01,436.5
2014-10-01,432.695652173913
2014-11-01,419
2014-12-01,410.739130434783
2015-01-01,409.681818181818
2015-02-01,409.5
2015-03-01,400.727272727273
2015-04-01,392.409090909091
2015-05-01,382.428571428571
2015-06-01,370.545454545455
2015-07-01,387.739130434783
2015-08-01,375.571428571429
2015-09-01,358.772727272727
2015-10-01,360.454545454545
2015-11-01,358.380952380952
2015-12-01,354.347826086957
2016-01-01,359.47619047619
2016-02-01,373.190476190476
2016-03-01,370.478260869565
2016-04-01,376.047619047619
2016-05-01,408.818181818182
2016-06-01,420.681818181818
2016-07-01,456.238095238095
2016-08-01,414.217391304348
2016-09-01,384
2016-10-01,367.666666666667
2016-11-01,360.818181818182
2016-12-01,367.545454545455
2017-01-01,372.545454545455
2017-02-01,368.5
2017-03-01,367.782608695652
2017-04-01,374.5
2017-05-01,402.913043478261
2017-06-01,444.681818181818
2017-07-01,419.952380952381
2017-08-01,405.652173913044
2017-09-01,413.142857142857
2017-10-01,407.227272727273
2017-11-01,404.045454545455
2017-12-01,407.952380952381
2018-01-01,422.304347826087
2018-02-01,417.85
2018-03-01,409.772727272727
2018-04-01,432.380952380952
2018-05-01,433.217391304348
2018-06-01,413.142857142857
2018-07-01,378.681818181818
2018-08-01,383.434782608696
2018-09-01,383
2018-10-01,392.04347826087
2018-11-01,390.818181818182
2018-12-01,380.333333333333
2019-01-01,383.739130434783
2019-02-01,390.55
2019-03-01,383.142857142857
2019-04-01,397.409090909091
2019-05-01,390.304347826087
2019-06-01,396.25
2019-07-01,395.95652173913
2019-08-01,414.681818181818
2019-09-01,415.428571428571
2019-10-01,399.130434782609
2019-11-01,394.571428571429
2019-12-01,397
2020-01-01,428.521739130435
2020-02-01,430.25
2020-03-01,471.681818181818
2020-04-01,542.818181818182
2020-05-01,498.857142857143
2020-06-01,503.045454545455
2020-07-01,464.478260869565
2020-08-01,484.428571428571
2020-09-01,491.909090909091
2020-10-01,458.863636363636
2020-11-01,459.857142857143
2020-12-01,499.347826086957
2021-01-01,518.47619047619
